,Equity,Hero,Villain
0,0.5000252844500632,0.0,0.0
1,0.6110962028713269,0.0,1.0
2,0.6837103361608545,0.0,2.0
3,0.74795151928986,0.0,3.0
4,0.7723803537757027,0.0,4.0
5,0.7881853491102881,0.0,5.0
6,0.800727340544573,0.0,6.0
7,0.7980697151424289,0.0,7.0
8,0.809302766199318,0.0,8.0
9,0.8070125697004064,0.0,9.0
10,0.8149952244508119,0.0,10.0
11,0.8221070811744386,0.0,11.0
12,0.826291983447214,0.0,12.0
13,0.8297192642787996,0.0,13.0
14,0.8319107662463626,0.0,14.0
15,0.8303962613182748,0.0,15.0
16,0.8388634815607667,0.0,16.0
17,0.8363778450717982,0.0,17.0
18,0.8408847315599727,0.0,18.0
19,0.8453265545561204,0.0,19.0
20,0.8485826001955035,0.0,20.0
21,0.8427131251835176,0.0,21.0
22,0.8462821267412203,0.0,22.0
23,0.8420072527687935,0.0,23.0
24,0.8459882583170255,0.0,24.0
25,0.8434313725490196,0.0,25.0
26,0.8451422963689893,0.0,26.0
27,0.8456019656019655,0.0,27.0
28,0.8448309748427673,0.0,28.0
29,0.8365460267505902,0.0,29.0
30,0.8359574886833301,0.0,30.0
31,0.8398264128612289,0.0,31.0
32,0.8448701491063495,0.0,32.0
33,0.8413997042878266,0.0,33.0
34,0.8383629191321499,0.0,34.0
35,0.8436173363609437,0.0,35.0
36,0.8380482996550025,0.0,36.0
37,0.8457125902482445,0.0,37.0
38,0.837653343886031,0.0,38.0
39,0.8345872104533756,0.0,39.0
40,0.8308285544789401,0.0,40.0
41,0.8431818181818181,0.0,41.0
42,0.8388245770258237,0.0,42.0
43,0.841225902125556,0.0,43.0
44,0.8407605466428996,0.0,44.0
45,0.8290919893058719,0.0,45.0
46,0.8352824578790883,0.0,46.0
47,0.8374999999999999,0.0,47.0
48,0.8372599485250446,0.0,48.0
49,0.8375569194218966,0.0,49.0
50,0.8394963814811144,0.0,50.0
51,0.8423869944488502,0.0,51.0
52,0.8340780458742926,0.0,52.0
53,0.8351506740682,0.0,53.0
54,0.8354656352276109,0.0,54.0
55,0.8276067527308838,0.0,55.0
56,0.8297176820208023,0.0,56.0
57,0.8320565117898716,0.0,57.0
58,0.8359972202918694,0.0,58.0
59,0.8347575516693163,0.0,59.0
60,0.829795675461218,0.0,60.0
61,0.8307860262008733,0.0,61.0
62,0.8299035689432349,0.0,62.0
63,0.8322567822716884,0.0,63.0
64,0.8373434082322528,0.0,64.0
65,0.8296053285614873,0.0,65.0
66,0.832704152592887,0.0,66.0
67,0.8251165558972324,0.0,67.0
68,0.8273910020856093,0.0,68.0
69,0.828407062090855,0.0,69.0
70,0.8294088425235967,0.0,70.0
71,0.8286310351678919,0.0,71.0
